CD4;d0;d7;d15;d45
Azh;0.0000205851805413902;0.000573750816507631;0.0352683494997781;0.00293952162948751
Yzh;0.0000297393194823307;0.000117007603665994;0.0232661542389744;0.00353205304506918
GS;0.0000447993883390179;0.000505858816804801;0.0164030154273164;0.00241813425280905
KB;0.0000252980721932023;0.000378782945433549;0.0359136273260816;0.00149527442958515
Kar;0.0000373009064120258;0.000207789575044979;0.0243443680137575;0.00145406431048899
Luci;0.000141069205582381;0.00119864220123821;0.0401691241494871;0.00246345166136057
