CD8;d0;d7;d15;d45
Azh;0.0000201853381044132;0.0010467757142259;0.0777319084127318;0.0205404841527928
Yzh;0;0.00039853852704121;0.0850925336397039;0.0299960957679147
GS;1.70927899193562E-06;0.00105123850338077;0.0795891312433835;0.0429381310181143
KB;0.0000213908700201609;0.000955838211661089;0.0445643319664775;0.00805212644820793
Kar;0.0000101327388793191;0.000324688640682461;0.019978071664904;0.0016708523135173
Luci;0.0000415487629402529;0.00520911462699386;0.0717402318041414;0.0100732230722264
